sdu	Seriola_dumerili_(greater_amberjack)
slal	Seriola_lalandi_dorsalis_(Yellowtail_amberjack)
hcq	Hippocampus_comes_(tiger_tail_seahorse)
bpec	Boleophthalmus_pectinirostris_(great_blue-spotted_mudskipper)
malb	Monopterus_albus_(swamp_eel)
sasa	Salmo_salar_(Atlantic_salmon)
otw	Oncorhynchus_tshawytscha_(Chinook_salmon)
salp	Salvelinus_alpinus_(Arctic_char)
els	Esox_lucius_(northern_pike)
sfm	Scleropages_formosus_(Asian_bonytongue)
pki	Paramormyrops_kingsleyae
lcm	Latimeria_chalumnae_(coelacanth)
cmk	Callorhinchus_milii_(elephant_shark)
rtp	Rhincodon_typus_(whale_shark)
bfo	Branchiostoma_floridae_(Florida_lancelet)
cin	Ciona_intestinalis_(sea_squirt)
spu	Strongylocentrotus_purpuratus_(purple_sea_urchin)
aplc	Acanthaster_planci_(crown-of-thorns_starfish)
sko	Saccoglossus_kowalevskii_(acorn_worm)
dme	Drosophila_melanogaster_(fruit_fly)
der	Drosophila_erecta
dse	Drosophila_sechellia
dsi	Drosophila_simulans
dya	Drosophila_yakuba
dan	Drosophila_ananassae
dsr	Drosophila_serrata
dpo	Drosophila_pseudoobscura_pseudoobscura
dpe	Drosophila_persimilis
dmn	Drosophila_miranda
dwi	Drosophila_willistoni
dgr	Drosophila_grimshawi
dmo	Drosophila_mojavensis
daz	Drosophila_arizonae
dnv	Drosophila_navojoa
dhe	Drosophila_hydei
dvi	Drosophila_virilis
mde	Musca_domestica_(house_fly)
lcq	Lucilia_cuprina_(Australian_sheep_blowfly)
aga	Anopheles_gambiae_(mosquito)
aag	Aedes_aegypti_(yellow_fever_mosquito)
aalb	Aedes_albopictus_(Asian_tiger_mosquito)
cqu	Culex_quinquefasciatus_(southern_house_mosquito)
ame	Apis_mellifera_(honey_bee)
bim	Bombus_impatiens_(common_eastern_bumble_bee)
bter	Bombus_terrestris_(buff-tailed_bumblebee)
ccal	Ceratina_calcarata_(carpenter_bee)
obb	Osmia_bicornis_bicornis
soc	Solenopsis_invicta_(red_fire_ant)
mpha	Monomorium_pharaonis_(pharaoh_ant)
aec	Acromyrmex_echinatior_(Panamanian_leafcutter_ant)
acep	Atta_cephalotes_(leaf_cutting_ant)
pbar	Pogonomyrmex_barbatus_(red_harvester_ant)
vem	Vollenhovia_emeryi
hst	Harpegnathos_saltator_(Jerdon's_jumping_ant)
dqu	Dinoponera_quadriceps
cfo	Camponotus_floridanus_(Florida_carpenter_ant)
lhu	Linepithema_humile_(Argentine_ant)
pgc	Pseudomyrmex_gracilis
obo	Ooceraea_biroi_(clonal_raider_ant)
pcf	Polistes_canadensis
nvi	Nasonia_vitripennis_(jewel_wasp)
csol	Ceratosolen_solmsi_marchali
mdl	Microplitis_demolitor
tca	Tribolium_castaneum_(red_flour_beetle)
dpa	Dendroctonus_ponderosae_(mountain_pine_beetle)
atd	Aethina_tumida_(small_hive_beetle)
nvl	Nicrophorus_vespilloides
bmor	Bombyx_mori_(domestic_silkworm)
bman	Bombyx_mandarina_(wild_silkworm)
dpl	Danaus_plexippus_(monarch_butterfly)
pmac	Papilio_machaon_(common_yellow_swallowtail)
prap	Pieris_rapae_(cabbage_white)
haw	Helicoverpa_armigera_(cotton_bollworm)
tnl	Trichoplusia_ni_(cabbage_looper)
pxy	Plutella_xylostella_(diamondback_moth)
api	Acyrthosiphon_pisum_(pea_aphid)
dnx	Diuraphis_noxia_(Russian_wheat_aphid)
ags	Aphis_gossypii_(cotton_aphid)
rmd	Rhopalosiphum_maidis_(corn_leaf_aphid)
btab	Bemisia_tabaci_(sweet_potato_whitefly)
clec	Cimex_lectularius_(bed_bug)
phu	Pediculus_humanus_corporis_(human_body_louse)
zne	Zootermopsis_nevadensis
fcd	Folsomia_candida
dpx	Daphnia_pulex_(common_water_flea)
pvm	Penaeus_vannamei_(Pacific_white_shrimp)
isc	Ixodes_scapularis_(black-legged_tick)
tut	Tetranychus_urticae_(two-spotted_spider_mite)
dpte	Dermatophagoides_pteronyssinus_(European_house_dust_mite)
cscu	Centruroides_sculpturatus_(bark_scorpion)
ptep	Parasteatoda_tepidariorum_(common_house_spider)
cel	Caenorhabditis_elegans_(nematode)
cbr	Caenorhabditis_briggsae
bmy	Brugia_malayi_(filaria)
loa	Loa_loa_(eye_worm)
nai	Necator_americanus
tsp	Trichinella_spiralis
hro	Helobdella_robusta
lgi	Lottia_gigantea_(owl_limpet)
pcan	Pomacea_canaliculata_(golden_apple_snail)
crg	Crassostrea_gigas_(Pacific_oyster)
myi	Mizuhopecten_yessoensis_(Yesso_scallop)
obi	Octopus_bimaculoides
lak	Lingula_anatina
smm	Schistosoma_mansoni
shx	Schistosoma_haematobium
ovi	Opisthorchis_viverrini
egl	Echinococcus_granulosus
nve	Nematostella_vectensis_(sea_anemone)
epa	Exaiptasia_pallida
adf	Acropora_digitifera_(stony_coral)
amil	Acropora_millepora
pdam	Pocillopora_damicornis_(lace_coral)
spis	Stylophora_pistillata
dgt	Dendronephthya_gigantea_(soft_corals)
hmg	Hydra_vulgaris
tad	Trichoplax_adhaerens
aqu	Amphimedon_queenslandica_(sponge)
ath	Arabidopsis_thaliana_(thale_cress)
aly	Arabidopsis_lyrata_(lyrate_rockcress)
crb	Capsella_rubella
csat	Camelina_sativa_(false_flax)
eus	Eutrema_salsugineum
brp	Brassica_rapa_(field_mustard)
bna	Brassica_napus_(rape)
boe	Brassica_oleracea_(wild_cabbage)
rsz	Raphanus_sativus_(radish)
thj	Tarenaya_hassleriana_(spider_flower)
cpap	Carica_papaya_(papaya)
cit	Citrus_sinensis_(Valencia_orange)
cic	Citrus_clementina_(mandarin_orange)
tcc	Theobroma_cacao_(cacao)
gra	Gossypium_raimondii
ghi	Gossypium_hirsutum_(upland_cotton)
gab	Gossypium_arboreum
dzi	Durio_zibethinus_(durian)
egr	Eucalyptus_grandis_(rose_gum)
gmx	Glycine_max_(soybean)
gsj	Glycine_soja_(wild_soybean)
pvu	Phaseolus_vulgaris_(common_bean)
vra	Vigna_radiata_(mung_bean)
var	Vigna_angularis_(adzuki_bean)
vun	Vigna_unguiculata_(cowpea)
ccaj	Cajanus_cajan_(pigeon_pea)
mtr	Medicago_truncatula_(barrel_medic)
cam	Cicer_arietinum_(chickpea)
lja	Lotus_japonicus
adu	Arachis_duranensis
aip	Arachis_ipaensis
lang	Lupinus_angustifolius_(narrow-leaved_blue_lupine)
fve	Fragaria_vesca_(woodland_strawberry)
rcn	Rosa_chinensis_(China_rose)
pper	Prunus_persica_(peach)
pmum	Prunus_mume_(Japanese_apricot)
pavi	Prunus_avium_(sweet_cherry)
mdm	Malus_domestica_(apple)
pxb	Pyrus_x_bretschneideri_(Chinese_white_pear)
zju	Ziziphus_jujuba_(Chinese_jujube)
csv	Cucumis_sativus_(cucumber)
cmo	Cucumis_melo_(muskmelon)
mcha	Momordica_charantia_(bitter_melon)
cmax	Cucurbita_maxima_(winter_squash)
cmos	Cucurbita_moschata_(crookneck_pumpkin)
cpep	Cucurbita_pepo_subsp._pepo_(vegetable_marrow)
rcu	Ricinus_communis_(castor_bean)
jcu	Jatropha_curcas
hbr	Hevea_brasiliensis_(rubber_tree)
mesc	Manihot_esculenta_(cassava)
pop	Populus_trichocarpa_(black_cottonwood)
peu	Populus_euphratica_(Euphrates_poplar)
jre	Juglans_regia_(English_walnut)
qsu	Quercus_suber_(cork_oak)
vvi	Vitis_vinifera_(wine_grape)
sly	Solanum_lycopersicum_(tomato)
spen	Solanum_pennellii
sot	Solanum_tuberosum_(potato)
cann	Capsicum_annuum
nta	Nicotiana_tabacum_(common_tobacco)
nsy	Nicotiana_sylvestris
nto	Nicotiana_tomentosiformis
nau	Nicotiana_attenuata
ini	Ipomoea_nil_(Japanese_morning_glory)
sind	Sesamum_indicum_(sesame)
oeu	Olea_europaea_var._sylvestris_(wild_olive)
han	Helianthus_annuus_(common_sunflower)
lsv	Lactuca_sativa_(garden_lettuce)
ccav	Cynara_cardunculus_var._scolymus_(artichoke)
dcr	Daucus_carota_(carrot)
bvg	Beta_vulgaris_(sugar_beet)
soe	Spinacia_oleracea_(spinach)
cqi	Chenopodium_quinoa_(quinoa)
nnu	Nelumbo_nucifera_(sacred_lotus)
psom	Papaver_somniferum_(opium_poppy)
osa	Oryza_sativa_japonica_(Japanese_rice)_(RefSeq)
dosa	Oryza_sativa_japonica_(Japanese_rice)_(RAPDB)
obr	Oryza_brachyantha_(malo_sina)
bdi	Brachypodium_distachyon
ats	Aegilops_tauschii_(wheat_D)
sbi	Sorghum_bicolor_(sorghum)
zma	Zea_mays_(maize)
sita	Setaria_italica_(foxtail_millet)
pda	Phoenix_dactylifera_(date_palm)
egu	Elaeis_guineensis_(African_oil_palm)
mus	Musa_acuminata_(wild_Malaysian_banana)
dct	Dendrobium_catenatum
peq	Phalaenopsis_equestris
aof	Asparagus_officinalis_(garden_asparagus)
atr	Amborella_trichopoda
smo	Selaginella_moellendorffii
ppp	Physcomitrella_patens_subsp._patens
cre	Chlamydomonas_reinhardtii
vcn	Volvox_carteri_f._nagariensis
mng	Monoraphidium_neglectum
csl	Coccomyxa_subellipsoidea
cvr	Chlorella_variabilis
apro	Auxenochlorella_protothecoides
olu	Ostreococcus_lucimarinus
ota	Ostreococcus_tauri
bpg	Bathycoccus_prasinos
mis	Micromonas_commoda
mpp	Micromonas_pusilla
cme	Cyanidioschyzon_merolae
gsl	Galdieria_sulphuraria
ccp	Chondrus_crispus_(carragheen)
